metric,current,baseline,delta,unit
pass_rate,1.0,0.25,0.75,%
completion_rate,0.4333,0.8,-0.3667,%
average_cost_vnd,0.0,12.34,-12.34,VND
average_model_call_cost_vnd,0.0,,,VND/model call
model_calls,0,,,cases
zero_cost_turns,30,,,cases
average_latency_ms,79.87,1476.77,-1396.9,ms
duration_seconds,121.659,,,s
passed,13,,,cases
failed,0,,,cases
errors,0,,,cases
manual_review,17,,,cases
topic.banking_information.pass_rate,0.0,,,%
topic.banking_information.passed,0,,,cases
topic.banking_information.total,1,,,cases
topic.banking_information.average_cost_vnd,0.0,,,VND
topic.banking_information.average_latency_ms,720.0,,,ms
topic.internal_information.pass_rate,0.0,,,%
topic.internal_information.passed,0,,,cases
topic.internal_information.total,1,,,cases
topic.internal_information.average_cost_vnd,0.0,,,VND
topic.internal_information.average_latency_ms,40.0,,,ms
topic.prompt_injection.pass_rate,0.0,,,%
topic.prompt_injection.passed,0,,,cases
topic.prompt_injection.total,3,,,cases
topic.prompt_injection.average_cost_vnd,0.0,,,VND
topic.prompt_injection.average_latency_ms,331.67,,,ms
topic.result_guarantee.pass_rate,0.0,,,%
topic.result_guarantee.passed,0,,,cases
topic.result_guarantee.total,8,,,cases
topic.result_guarantee.average_cost_vnd,0.0,,,VND
topic.result_guarantee.average_latency_ms,27.75,,,ms
topic.trap.pass_rate,1.0,,,%
topic.trap.passed,13,,,cases
topic.trap.total,14,,,cases
topic.trap.average_cost_vnd,0.0,,,VND
topic.trap.average_latency_ms,25.21,,,ms
topic.unauthorized_discount.pass_rate,0.0,,,%
topic.unauthorized_discount.passed,0,,,cases
topic.unauthorized_discount.total,3,,,cases
topic.unauthorized_discount.average_cost_vnd,0.0,,,VND
topic.unauthorized_discount.average_latency_ms,22.0,,,ms
