id,type,topic,input_style,status,passed,score,pass_score,question,reply,failed_checks,need_human,guardrail_blocked,model,cost_usd,model_called,latency_ms,trace_id,diagnostic_stage,judge_reason,error
H311D01,normal,small_talk,unaccented,ERROR,False,0.0,1.0,hello,"Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_contain_any:chào | hỗ trợ; must_not_contain:chưa có đủ dữ liệu; must_not_contain:xin phép kết nối; expect_escalate,True,False,gpt-5.6-luna,0.0,False,1647,00e010ab-a507-404a-9d25-1f888ba662f9,retrieval_error,,retrieval_error: Gemini embedding thất bại: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
H311D02,normal,small_talk,accented,ERROR,False,0.3333,1.0,alo em ơi có ai tư vấn không,"Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_not_contain:chưa có đủ dữ liệu; expect_escalate,True,False,gpt-5.6-luna,0.0,False,634,b9a0ee14-d647-4611-81e2-9277a1a51557,retrieval_error,,retrieval_error: Gemini embedding thất bại: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
H311D03,normal,small_talk,unaccented,ERROR,False,0.0,1.0,"chao shop, minh dang tham khao lam web","Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_contain_any:chào | website | thiết kế web; must_not_contain:chưa có đủ dữ liệu; expect_escalate,True,False,gpt-5.6-luna,0.0,False,139,6f96211c-c959-4546-89fd-1e5573892c6d,retrieval_error,,retrieval_error: Gemini embedding thất bại: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
H311D04,normal,pricing,accented,ERROR,False,0.0,1.0,bên em làm web giá tầm bao nhiêu vậy,"Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_contain_any:2.000.000 | 6.000.000 | 9.000.000 | 12.000.000 | 17.000.000; must_not_contain:chưa có đủ dữ liệu; expect_escalate,True,False,gemini-3.5-flash-lite,0.0,False,106,218f4947-66ca-4bed-8f12-8443f263fdcc,retrieval_error,,retrieval_error: Gemini embedding thất bại: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
H311D05,normal,budget,accented,ERROR,False,0.25,1.0,anh có khoảng 8tr thì làm được web gói nào em,"Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_contain_any:6.000.000 | Phổ thông | Basic; must_not_contain:chưa có đủ dữ liệu; expect_escalate,True,False,gpt-5.6-luna,0.0,False,131,9b85de65-d886-460b-adfa-c269a3ff9af9,retrieval_error,,retrieval_error: Gemini embedding thất bại: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
H311D06,normal,budget,unaccented,ERROR,False,0.0,1.0,tam 15 den 20 trieu co web nao phu hop khong,"Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_contain_any:17.000.000 | Cao cấp | 12.000.000 | Chuyên nghiệp; must_not_contain:chưa có đủ dữ liệu; expect_escalate,True,False,gpt-5.6-luna,0.0,False,124,eb796297-76bb-4b61-941e-ef3147c6ba77,retrieval_error,,retrieval_error: Gemini embedding thất bại: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
H311D07,normal,pricing,accented,ERROR,False,0.0,1.0,gói chuyên nghiệp 12tr có ssl sẵn chưa em,"Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_contain_any:SSL | 12.000.000; must_not_contain:chưa có đủ dữ liệu; expect_escalate,True,False,gemini-3.5-flash-lite,0.0,False,91,bdcc4ab3-90d0-4110-bd80-e2616429ec4a,retrieval_error,,retrieval_error: Gemini embedding thất bại: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
H311D08,normal,process,accented,ERROR,False,0.0,1.0,trước khi code anh có được coi giao diện rồi sửa màu không,"Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_contain_any:giao diện | chỉnh sửa | sửa màu | duyệt; must_not_contain:chưa có đủ dữ liệu; expect_escalate,True,False,gpt-5.6-luna,0.0,False,90,69902b84-bb7f-4052-aaf9-334527acb391,retrieval_error,,retrieval_error: Gemini embedding thất bại: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
H311D09,normal,pricing,accented,ERROR,False,0.3333,1.0,web basic 2tr có giao source code cho anh không,"Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_not_contain:chưa có đủ dữ liệu; expect_escalate,True,False,gemini-3.5-flash-lite,0.0,False,108,8d713c8f-6d66-4041-8d94-8de5c5c6739f,retrieval_error,,retrieval_error: Gemini embedding thất bại: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
H311D10,normal,pricing,accented,ERROR,False,0.0,1.0,cho anh hỏi gói cao cấp có giỏ hàng với song ngữ chưa,"Hiện em chưa có đủ dữ liệu để trả lời chính xác. Anh/chị có thể mô tả rõ hơn nhu cầu để em kiểm tra tiếp không ạ?

Phần này em xin phép kết nối anh/chị với chuyên viên tư vấn ạ.

Để em chuyển yêu cầu đến chuyên viên, anh/chị vui lòng cho em xin tên và số điện thoại liên hệ ạ. Em sẽ đọc lại để anh/chị xác nhận trước khi ghi nhận.",must_contain_any:giỏ hàng | song ngữ | 17.000.000; must_not_contain:chưa có đủ dữ liệu; expect_escalate,True,False,gemini-3.5-flash-lite,0.0,False,79,554f0bf4-f268-4951-ad93-b09f9e47dbe4,retrieval_error,,retrieval_error: Gemini embedding thất bại: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
