metric,current,baseline,delta,unit
pass_rate,0.8,,,%
completion_rate,1.0,,,%
average_cost_usd,0.00086111,,,USD
average_model_call_cost_usd,0.0010763875,,,USD/model call
model_calls,16,,,cases
zero_cost_turns,4,,,cases
average_latency_ms,3499.95,,,ms
duration_seconds,29.526,,,s
passed,16,,,cases
failed,4,,,cases
errors,0,,,cases
manual_review,0,,,cases
topic.budget.pass_rate,0.5,,,%
topic.budget.passed,1,,,cases
topic.budget.total,2,,,cases
topic.budget.average_cost_usd,0.001863375,,,USD
topic.budget.average_latency_ms,5062.5,,,ms
topic.guardrail.pass_rate,1.0,,,%
topic.guardrail.passed,2,,,cases
topic.guardrail.total,2,,,cases
topic.guardrail.average_cost_usd,0.0,,,USD
topic.guardrail.average_latency_ms,167.5,,,ms
topic.handoff.pass_rate,0.5,,,%
topic.handoff.passed,1,,,cases
topic.handoff.total,2,,,cases
topic.handoff.average_cost_usd,0.0007571875,,,USD
topic.handoff.average_latency_ms,2431.0,,,ms
topic.pricing.pass_rate,1.0,,,%
topic.pricing.passed,4,,,cases
topic.pricing.total,4,,,cases
topic.pricing.average_cost_usd,0.000641075,,,USD
topic.pricing.average_latency_ms,3200.0,,,ms
topic.pricing_contact.pass_rate,1.0,,,%
topic.pricing_contact.passed,2,,,cases
topic.pricing_contact.total,2,,,cases
topic.pricing_contact.average_cost_usd,0.001111725,,,USD
topic.pricing_contact.average_latency_ms,3306.0,,,ms
topic.process.pass_rate,1.0,,,%
topic.process.passed,1,,,cases
topic.process.total,1,,,cases
topic.process.average_cost_usd,0.001475125,,,USD
topic.process.average_latency_ms,3421.0,,,ms
topic.services.pass_rate,0.75,,,%
topic.services.passed,3,,,cases
topic.services.total,4,,,cases
topic.services.average_cost_usd,0.0006836125,,,USD
topic.services.average_latency_ms,2894.0,,,ms
topic.small_talk.pass_rate,0.6667,,,%
topic.small_talk.passed,2,,,cases
topic.small_talk.total,3,,,cases
topic.small_talk.average_cost_usd,0.000994583333,,,USD
topic.small_talk.average_latency_ms,6756.0,,,ms
